Id,activity_date,total_steps,calories,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,activity_level,activity_intensity_segment,day_type,total_minutes_asleep,total_time_in_bed,sleep_efficiency,sleep_segment
1503960366,12-04-2016,13162,1985,25,13,328,728,High Activity,Moderate Very-Active,Weekday,327,346,94.5,Less than 6 Hours
1503960366,13-04-2016,10735,1797,21,19,217,776,High Activity,Moderate Very-Active,Weekday,384,407,94.3,6-8 Hours
1503960366,14-04-2016,10460,1776,30,11,181,1218,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1503960366,15-04-2016,9762,1745,29,34,209,726,Moderate Activity,Moderate Very-Active,Weekday,412,442,93.2,6-8 Hours
1503960366,16-04-2016,12669,1863,36,10,221,773,High Activity,High Very-Active,Weekend,340,367,92.6,Less than 6 Hours
1503960366,17-04-2016,9705,1728,38,20,164,539,Moderate Activity,High Very-Active,Weekend,700,712,98.3,More than 8 Hours
1503960366,18-04-2016,13019,1921,42,16,233,1149,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1503960366,19-04-2016,15506,2035,50,31,264,775,High Activity,High Very-Active,Weekday,304,320,95,Less than 6 Hours
1503960366,20-04-2016,10544,1786,28,12,205,818,High Activity,Moderate Very-Active,Weekday,360,377,95.5,6-8 Hours
1503960366,21-04-2016,9819,1775,19,8,211,838,Moderate Activity,Moderate Very-Active,Weekday,325,364,89.3,Less than 6 Hours
1503960366,22-04-2016,12764,1827,66,27,130,1217,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1503960366,23-04-2016,14371,1949,41,21,262,732,High Activity,High Very-Active,Weekend,361,384,94,6-8 Hours
1503960366,24-04-2016,10039,1788,39,5,238,709,High Activity,High Very-Active,Weekend,430,449,95.8,6-8 Hours
1503960366,25-04-2016,15355,2013,73,14,216,814,High Activity,High Very-Active,Weekday,277,323,85.8,Less than 6 Hours
